LOC_MSCONS,LOC_PLZ,LOC_EEGKEY,DATE_PERIOD_START,YEAR_PS,MONTH_PS,DAY_PS,HOUR_PS,MINUTE_PS,UTC_PS,DATE_PERIOD_END,YEAR_PE,MONTH_PE,DAY_PE,HOUR_PE,MINUTE_PE,UTC_PE,VALUE
"US0001062600000001000000022345671","26000","00001000000022345671","201512010000+01","2015","12","01","00","00","+01","201601010000+01","2016","01","01","00","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010000+01","2015","12","01","00","00","+01","201601010000+01","2016","01","01","00","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010000+01","2015","12","01","00","00","+01","201512010015+01","2015","12","01","00","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010000+01","2015","12","01","00","00","+01","201512010015+01","2015","12","01","00","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010015+01","2015","12","01","00","15","+01","201512010015+01","2015","12","01","00","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010015+01","2015","12","01","00","15","+01","201512010030+01","2015","12","01","00","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010015+01","2015","12","01","00","15","+01","201512010030+01","2015","12","01","00","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010030+01","2015","12","01","00","30","+01","201512010030+01","2015","12","01","00","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010030+01","2015","12","01","00","30","+01","201512010045+01","2015","12","01","00","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010030+01","2015","12","01","00","30","+01","201512010045+01","2015","12","01","00","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010045+01","2015","12","01","00","45","+01","201512010045+01","2015","12","01","00","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010045+01","2015","12","01","00","45","+01","201512010100+01","2015","12","01","01","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010045+01","2015","12","01","00","45","+01","201512010100+01","2015","12","01","01","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010100+01","2015","12","01","01","00","+01","201512010100+01","2015","12","01","01","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010100+01","2015","12","01","01","00","+01","201512010115+01","2015","12","01","01","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010100+01","2015","12","01","01","00","+01","201512010115+01","2015","12","01","01","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010115+01","2015","12","01","01","15","+01","201512010115+01","2015","12","01","01","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010115+01","2015","12","01","01","15","+01","201512010130+01","2015","12","01","01","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010115+01","2015","12","01","01","15","+01","201512010130+01","2015","12","01","01","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010130+01","2015","12","01","01","30","+01","201512010130+01","2015","12","01","01","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010130+01","2015","12","01","01","30","+01","201512010145+01","2015","12","01","01","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010130+01","2015","12","01","01","30","+01","201512010145+01","2015","12","01","01","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010145+01","2015","12","01","01","45","+01","201512010145+01","2015","12","01","01","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010145+01","2015","12","01","01","45","+01","201512010200+01","2015","12","01","02","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010145+01","2015","12","01","01","45","+01","201512010200+01","2015","12","01","02","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010200+01","2015","12","01","02","00","+01","201512010200+01","2015","12","01","02","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010200+01","2015","12","01","02","00","+01","201512010215+01","2015","12","01","02","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010200+01","2015","12","01","02","00","+01","201512010215+01","2015","12","01","02","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010215+01","2015","12","01","02","15","+01","201512010215+01","2015","12","01","02","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010215+01","2015","12","01","02","15","+01","201512010230+01","2015","12","01","02","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010215+01","2015","12","01","02","15","+01","201512010230+01","2015","12","01","02","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010230+01","2015","12","01","02","30","+01","201512010230+01","2015","12","01","02","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010230+01","2015","12","01","02","30","+01","201512010245+01","2015","12","01","02","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010230+01","2015","12","01","02","30","+01","201512010245+01","2015","12","01","02","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010245+01","2015","12","01","02","45","+01","201512010245+01","2015","12","01","02","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010245+01","2015","12","01","02","45","+01","201512010300+01","2015","12","01","03","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010245+01","2015","12","01","02","45","+01","201512010300+01","2015","12","01","03","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010300+01","2015","12","01","03","00","+01","201512010300+01","2015","12","01","03","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010300+01","2015","12","01","03","00","+01","201512010315+01","2015","12","01","03","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010300+01","2015","12","01","03","00","+01","201512010315+01","2015","12","01","03","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010315+01","2015","12","01","03","15","+01","201512010315+01","2015","12","01","03","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010315+01","2015","12","01","03","15","+01","201512010330+01","2015","12","01","03","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010315+01","2015","12","01","03","15","+01","201512010330+01","2015","12","01","03","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010330+01","2015","12","01","03","30","+01","201512010330+01","2015","12","01","03","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010330+01","2015","12","01","03","30","+01","201512010345+01","2015","12","01","03","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010330+01","2015","12","01","03","30","+01","201512010345+01","2015","12","01","03","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010345+01","2015","12","01","03","45","+01","201512010345+01","2015","12","01","03","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010345+01","2015","12","01","03","45","+01","201512010400+01","2015","12","01","04","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010345+01","2015","12","01","03","45","+01","201512010400+01","2015","12","01","04","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010400+01","2015","12","01","04","00","+01","201512010400+01","2015","12","01","04","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010400+01","2015","12","01","04","00","+01","201512010415+01","2015","12","01","04","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010400+01","2015","12","01","04","00","+01","201512010415+01","2015","12","01","04","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010415+01","2015","12","01","04","15","+01","201512010415+01","2015","12","01","04","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010415+01","2015","12","01","04","15","+01","201512010430+01","2015","12","01","04","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010415+01","2015","12","01","04","15","+01","201512010430+01","2015","12","01","04","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010430+01","2015","12","01","04","30","+01","201512010430+01","2015","12","01","04","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010430+01","2015","12","01","04","30","+01","201512010445+01","2015","12","01","04","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010430+01","2015","12","01","04","30","+01","201512010445+01","2015","12","01","04","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010445+01","2015","12","01","04","45","+01","201512010445+01","2015","12","01","04","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010445+01","2015","12","01","04","45","+01","201512010500+01","2015","12","01","05","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010445+01","2015","12","01","04","45","+01","201512010500+01","2015","12","01","05","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010500+01","2015","12","01","05","00","+01","201512010500+01","2015","12","01","05","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010500+01","2015","12","01","05","00","+01","201512010515+01","2015","12","01","05","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010500+01","2015","12","01","05","00","+01","201512010515+01","2015","12","01","05","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010515+01","2015","12","01","05","15","+01","201512010515+01","2015","12","01","05","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010515+01","2015","12","01","05","15","+01","201512010530+01","2015","12","01","05","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010515+01","2015","12","01","05","15","+01","201512010530+01","2015","12","01","05","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010530+01","2015","12","01","05","30","+01","201512010530+01","2015","12","01","05","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010530+01","2015","12","01","05","30","+01","201512010545+01","2015","12","01","05","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010530+01","2015","12","01","05","30","+01","201512010545+01","2015","12","01","05","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010545+01","2015","12","01","05","45","+01","201512010545+01","2015","12","01","05","45","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010545+01","2015","12","01","05","45","+01","201512010600+01","2015","12","01","06","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010545+01","2015","12","01","05","45","+01","201512010600+01","2015","12","01","06","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010600+01","2015","12","01","06","00","+01","201512010600+01","2015","12","01","06","00","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010600+01","2015","12","01","06","00","+01","201512010615+01","2015","12","01","06","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010600+01","2015","12","01","06","00","+01","201512010615+01","2015","12","01","06","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010615+01","2015","12","01","06","15","+01","201512010615+01","2015","12","01","06","15","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010615+01","2015","12","01","06","15","+01","201512010630+01","2015","12","01","06","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010615+01","2015","12","01","06","15","+01","201512010630+01","2015","12","01","06","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010630+01","2015","12","01","06","30","+01","201512010630+01","2015","12","01","06","30","+01","0"
"US0001062600000001000000022345671","26000","00001000000022345671","201512010630+01","2015","12","01","06","30","+01","201512010645+01","2015","12","01","06","45","+01","0"
