LOC_MSCONS;LOC_PLZ;LOC_EEGKEY;DATE_PERIOD_START;YEAR_PS;MONTH_PS;DAY_PS;HOUR_PS;MINUTE_PS;UTC_PS;DATE_PERIOD_END;YEAR_PE;MONTH_PE;DAY_PE;HOUR_PE;MINUTE_PE;UTC_PE;VALUE
US0001062600000001000000022345671;26000;1E+15;201512010000+01;2015;12;1;0;0;1;201601010000+01;2016;1;1;0;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010000+01;2015;12;1;0;0;1;201601010000+01;2016;1;1;0;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010000+01;2015;12;1;0;0;1;201512010015+01;2015;12;1;0;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010000+01;2015;12;1;0;0;1;201512010015+01;2015;12;1;0;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010015+01;2015;12;1;0;15;1;201512010015+01;2015;12;1;0;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010015+01;2015;12;1;0;15;1;201512010030+01;2015;12;1;0;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010015+01;2015;12;1;0;15;1;201512010030+01;2015;12;1;0;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010030+01;2015;12;1;0;30;1;201512010030+01;2015;12;1;0;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010030+01;2015;12;1;0;30;1;201512010045+01;2015;12;1;0;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010030+01;2015;12;1;0;30;1;201512010045+01;2015;12;1;0;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010045+01;2015;12;1;0;45;1;201512010045+01;2015;12;1;0;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010045+01;2015;12;1;0;45;1;201512010100+01;2015;12;1;1;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010045+01;2015;12;1;0;45;1;201512010100+01;2015;12;1;1;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010100+01;2015;12;1;1;0;1;201512010100+01;2015;12;1;1;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010100+01;2015;12;1;1;0;1;201512010115+01;2015;12;1;1;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010100+01;2015;12;1;1;0;1;201512010115+01;2015;12;1;1;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010115+01;2015;12;1;1;15;1;201512010115+01;2015;12;1;1;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010115+01;2015;12;1;1;15;1;201512010130+01;2015;12;1;1;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010115+01;2015;12;1;1;15;1;201512010130+01;2015;12;1;1;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010130+01;2015;12;1;1;30;1;201512010130+01;2015;12;1;1;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010130+01;2015;12;1;1;30;1;201512010145+01;2015;12;1;1;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010130+01;2015;12;1;1;30;1;201512010145+01;2015;12;1;1;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010145+01;2015;12;1;1;45;1;201512010145+01;2015;12;1;1;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010145+01;2015;12;1;1;45;1;201512010200+01;2015;12;1;2;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010145+01;2015;12;1;1;45;1;201512010200+01;2015;12;1;2;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010200+01;2015;12;1;2;0;1;201512010200+01;2015;12;1;2;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010200+01;2015;12;1;2;0;1;201512010215+01;2015;12;1;2;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010200+01;2015;12;1;2;0;1;201512010215+01;2015;12;1;2;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010215+01;2015;12;1;2;15;1;201512010215+01;2015;12;1;2;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010215+01;2015;12;1;2;15;1;201512010230+01;2015;12;1;2;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010215+01;2015;12;1;2;15;1;201512010230+01;2015;12;1;2;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010230+01;2015;12;1;2;30;1;201512010230+01;2015;12;1;2;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010230+01;2015;12;1;2;30;1;201512010245+01;2015;12;1;2;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010230+01;2015;12;1;2;30;1;201512010245+01;2015;12;1;2;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010245+01;2015;12;1;2;45;1;201512010245+01;2015;12;1;2;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010245+01;2015;12;1;2;45;1;201512010300+01;2015;12;1;3;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010245+01;2015;12;1;2;45;1;201512010300+01;2015;12;1;3;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010300+01;2015;12;1;3;0;1;201512010300+01;2015;12;1;3;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010300+01;2015;12;1;3;0;1;201512010315+01;2015;12;1;3;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010300+01;2015;12;1;3;0;1;201512010315+01;2015;12;1;3;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010315+01;2015;12;1;3;15;1;201512010315+01;2015;12;1;3;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010315+01;2015;12;1;3;15;1;201512010330+01;2015;12;1;3;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010315+01;2015;12;1;3;15;1;201512010330+01;2015;12;1;3;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010330+01;2015;12;1;3;30;1;201512010330+01;2015;12;1;3;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010330+01;2015;12;1;3;30;1;201512010345+01;2015;12;1;3;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010330+01;2015;12;1;3;30;1;201512010345+01;2015;12;1;3;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010345+01;2015;12;1;3;45;1;201512010345+01;2015;12;1;3;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010345+01;2015;12;1;3;45;1;201512010400+01;2015;12;1;4;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010345+01;2015;12;1;3;45;1;201512010400+01;2015;12;1;4;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010400+01;2015;12;1;4;0;1;201512010400+01;2015;12;1;4;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010400+01;2015;12;1;4;0;1;201512010415+01;2015;12;1;4;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010400+01;2015;12;1;4;0;1;201512010415+01;2015;12;1;4;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010415+01;2015;12;1;4;15;1;201512010415+01;2015;12;1;4;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010415+01;2015;12;1;4;15;1;201512010430+01;2015;12;1;4;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010415+01;2015;12;1;4;15;1;201512010430+01;2015;12;1;4;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010430+01;2015;12;1;4;30;1;201512010430+01;2015;12;1;4;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010430+01;2015;12;1;4;30;1;201512010445+01;2015;12;1;4;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010430+01;2015;12;1;4;30;1;201512010445+01;2015;12;1;4;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010445+01;2015;12;1;4;45;1;201512010445+01;2015;12;1;4;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010445+01;2015;12;1;4;45;1;201512010500+01;2015;12;1;5;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010445+01;2015;12;1;4;45;1;201512010500+01;2015;12;1;5;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010500+01;2015;12;1;5;0;1;201512010500+01;2015;12;1;5;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010500+01;2015;12;1;5;0;1;201512010515+01;2015;12;1;5;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010500+01;2015;12;1;5;0;1;201512010515+01;2015;12;1;5;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010515+01;2015;12;1;5;15;1;201512010515+01;2015;12;1;5;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010515+01;2015;12;1;5;15;1;201512010530+01;2015;12;1;5;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010515+01;2015;12;1;5;15;1;201512010530+01;2015;12;1;5;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010530+01;2015;12;1;5;30;1;201512010530+01;2015;12;1;5;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010530+01;2015;12;1;5;30;1;201512010545+01;2015;12;1;5;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010530+01;2015;12;1;5;30;1;201512010545+01;2015;12;1;5;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010545+01;2015;12;1;5;45;1;201512010545+01;2015;12;1;5;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010545+01;2015;12;1;5;45;1;201512010600+01;2015;12;1;6;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010545+01;2015;12;1;5;45;1;201512010600+01;2015;12;1;6;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010600+01;2015;12;1;6;0;1;201512010600+01;2015;12;1;6;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010600+01;2015;12;1;6;0;1;201512010615+01;2015;12;1;6;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010600+01;2015;12;1;6;0;1;201512010615+01;2015;12;1;6;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010615+01;2015;12;1;6;15;1;201512010615+01;2015;12;1;6;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010615+01;2015;12;1;6;15;1;201512010630+01;2015;12;1;6;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010615+01;2015;12;1;6;15;1;201512010630+01;2015;12;1;6;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010630+01;2015;12;1;6;30;1;201512010630+01;2015;12;1;6;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010630+01;2015;12;1;6;30;1;201512010645+01;2015;12;1;6;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010630+01;2015;12;1;6;30;1;201512010645+01;2015;12;1;6;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010645+01;2015;12;1;6;45;1;201512010645+01;2015;12;1;6;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010645+01;2015;12;1;6;45;1;201512010700+01;2015;12;1;7;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010645+01;2015;12;1;6;45;1;201512010700+01;2015;12;1;7;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010700+01;2015;12;1;7;0;1;201512010700+01;2015;12;1;7;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010700+01;2015;12;1;7;0;1;201512010715+01;2015;12;1;7;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010700+01;2015;12;1;7;0;1;201512010715+01;2015;12;1;7;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010715+01;2015;12;1;7;15;1;201512010715+01;2015;12;1;7;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010715+01;2015;12;1;7;15;1;201512010730+01;2015;12;1;7;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010715+01;2015;12;1;7;15;1;201512010730+01;2015;12;1;7;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010730+01;2015;12;1;7;30;1;201512010730+01;2015;12;1;7;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010730+01;2015;12;1;7;30;1;201512010745+01;2015;12;1;7;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010730+01;2015;12;1;7;30;1;201512010745+01;2015;12;1;7;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010745+01;2015;12;1;7;45;1;201512010745+01;2015;12;1;7;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010745+01;2015;12;1;7;45;1;201512010800+01;2015;12;1;8;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010745+01;2015;12;1;7;45;1;201512010800+01;2015;12;1;8;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010800+01;2015;12;1;8;0;1;201512010800+01;2015;12;1;8;0;1;0
US0001062600000001000000022345671;26000;1E+15;201512010800+01;2015;12;1;8;0;1;201512010815+01;2015;12;1;8;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010800+01;2015;12;1;8;0;1;201512010815+01;2015;12;1;8;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010815+01;2015;12;1;8;15;1;201512010815+01;2015;12;1;8;15;1;0
US0001062600000001000000022345671;26000;1E+15;201512010815+01;2015;12;1;8;15;1;201512010830+01;2015;12;1;8;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010815+01;2015;12;1;8;15;1;201512010830+01;2015;12;1;8;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010830+01;2015;12;1;8;30;1;201512010830+01;2015;12;1;8;30;1;0
US0001062600000001000000022345671;26000;1E+15;201512010830+01;2015;12;1;8;30;1;201512010845+01;2015;12;1;8;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010830+01;2015;12;1;8;30;1;201512010845+01;2015;12;1;8;45;1;0
US0001062600000001000000022345671;26000;1E+15;201512010845+01;2015;12;1;8;45;1;201512010845+01;2015;12;1;8;45;1;0
